MUNICIPIO;COD_PROVINCIA;COD_MUNICIPIO;COD_CCAA;NUM_CONTENEDORES; HABITANTES ;
Cellera de Ter, La;17;17189;8;18; 1.950 ;
Serinyà;17;17190;8;13; 1.133 ;
Serra de Daró;17;17191;8;4; 222 ;
Setcases;17;17192;8;5; 170 ;
Sils;17;17193;8;46; 6.219 ;
Susqueda;17;17194;8;5; 93 ;
Tallada d`Empordà, La;17;17195;8;10; 454 ;
Terrades;17;17196;8;6; 338 ;
Torrent;17;17197;8;6; 164 ;
Torroella de Fluvià;17;17198;8;10; 703 ;
Torroella de Montgrí;17;17199;8;220; 11.836 ;
Tortellà;17;17200;8;7; 818 ;
Toses;17;17201;8;8; 168 ;
Tossa de Mar;17;17202;8;82; 5.818 ;
Ultramort;17;17203;8;4; 225 ;
Ullà;17;17204;8;11; 1.177 ;
Ullastret;17;17205;8;5; 274 ;
Urús;17;17206;8;4; 196 ;
Vall d`en Bas, La;17;17207;8;25; 3.093 ;
Vall de Bianya, La;17;17208;8;19; 1.275 ;
Vall-llobrega;17;17209;8;15; 897 ;
Ventalló;17;17210;8;16; 846 ;
Verges;17;17211;8;0; 1.169 ;
Vidrà;17;17212;8;3; 177 ;
Vidreres;17;17213;8;34; 7.951 ;
Vilabertran;17;17214;8;5; 993 ;
Vilablareix;17;17215;8;20; 3.063 ;
Viladasens;17;17216;8;6; 206 ;
Viladamat;17;17217;8;10; 458 ;
Vilademuls;17;17218;8;15; 835 ;
Viladrau;17;17220;8;28; 1.047 ;
Vilafant;17;17221;8;36; 5.421 ;
Vilaür;17;17222;8;2; 158 ;
Vilajuïga;17;17223;8;0; 1.116 ;
Vilallonga de Ter;17;17224;8;10; 398 ;
Vilamacolum;17;17225;8;4; 377 ;
Vilamalla;17;17226;8;14; 1.161 ;
Vilamaniscle;17;17227;8;2; 212 ;
Vilanant;17;17228;8;5; 386 ;
Vila-sacra;17;17230;8;8; 758 ;
Vilopriu;17;17232;8;6; 204 ;
Vilobí d`Onyar;17;17233;8;35; 3.333 ;
Biure;17;17234;8;6; 241 ;
Cruïlles, Monells i Sant Sadurní de l`Heura;17;17901;8;22; 1.270 ;
Forallac;17;17902;8;63; 1.695 ;
Sant Julià del Llor i Bonmatí;17;17903;8;18; 1.313 ;
Abella de la Conca;25;25001;8;5; 183 ;
Àger;25;25002;8;15; 580 ;
Agramunt;25;25003;8;61; 5.411 ;
Alamús, Els;25;25004;8;6; 811 ;
Alàs i Cerc;25;25005;8;12; 320 ;
Albagés, L`;25;25006;8;5; 361 ;
Albatàrrec;25;25007;8;18; 2.236 ;
Albesa;25;25008;8;11; 1.561 ;
Albi, L`;25;25009;8;7; 744 ;
Alcanó;25;25010;8;3; 238 ;
Alcarràs;25;25011;8;68; 9.707 ;
Alcoletge;25;25012;8;29; 3.435 ;
Alfarràs;25;25013;8;23; 2.765 ;
Alfés;25;25014;8;4; 297 ;
Algerri;25;25015;8;4; 404 ;
Alguaire;25;25016;8;23; 3.029 ;
Alins;25;25017;8;6; 272 ;
Almacelles;25;25019;8;52; 6.826 ;
Almatret;25;25020;8;5; 305 ;
Almenar;25;25021;8;25; 3.357 ;
Alòs de Balaguer;25;25022;8;2; 132 ;
Alpicat;25;25023;8;54; 6.266 ;
Alt Àneu;25;25024;8;15; 414 ;
Naut Aran;25;25025;8;40; 1.836 ;
Anglesola;25;25027;8;12; 1.365 ;
Arbeca;25;25029;8;17; 2.126 ;
Pont de Bar, El;25;25030;8;9; 152 ;
Arres;25;25031;8;1; 60 ;
Arsèguel;25;25032;8;2; 81 ;
Artesa de Lleida;25;25033;8;11; 1.535 ;
Artesa de Segre;25;25034;8;41; 3.400 ;
Sentiu de Sió, La;25;25035;8;5; 414 ;
Aspa;25;25036;8;2; 220 ;
Avellanes i Santa Linya, Les;25;25037;8;6; 433 ;
Aitona;25;25038;8;24; 2.567 ;
Baix Pallars;25;25039;8;11; 331 ;
Balaguer;25;25040;8;88; 17.472 ;
